t,y,n
135.0,-0.2862080335760875,5.0
140.0,-0.2800792133270762,5.0
145.0,-0.2680764160330451,5.0
150.0,-0.2572925744728504,5.0
155.0,-0.23998278612234536,5.0
160.0,-0.23047529826570634,5.0
165.0,-0.2133011209166008,5.0
170.0,-0.20336037205195487,5.0
175.0,-0.1984081300833857,5.0
180.0,-0.19008586426812502,5.0
185.0,-0.18533852393270858,5.0
190.0,-0.16960536827704617,5.0
195.0,-0.16955044672909575,5.0
200.0,-0.16115031647306116,5.0
205.0,-0.15358343355862403,5.0
210.0,-0.14223924061397356,5.0
215.0,-0.14097342957339978,5.0
220.0,-0.13324906119531152,5.0
225.0,-0.12878003447437414,5.0
230.0,-0.12032088837776653,5.0
235.0,-0.11464050954962922,5.0
240.0,-0.1048280499124911,5.0
245.0,-0.10286404799626457,5.0
250.0,-0.10341387108692521,5.0
255.0,-0.10503591208667355,5.0
260.0,-0.09213335929846417,5.0
265.0,-0.09561575528050749,5.0
270.0,-0.09092299140705895,5.0
275.0,-0.08174424448088946,5.0
280.0,-0.07948034082718317,5.0
285.0,-0.07174524120813862,5.0
290.0,-0.07189973606716575,5.0
295.0,-0.0743388735909475,5.0
300.0,-0.0643476553092464,5.0
0.0,0.02706862016859763,6.0
5.0,0.025180411070790314,6.0
10.0,0.02181610948611889,6.0
15.0,0.014237933428648448,6.0
20.0,-0.0009989233557808847,6.0
25.0,0.0021337055342221037,6.0
30.0,-0.007511396303610812,6.0
35.0,-0.00495268801934382,6.0
40.0,-0.002412191163703716,6.0
45.0,-0.010143886233838082,6.0
50.0,-0.020964339841639736,6.0
55.0,-0.02302088354969664,6.0
60.0,-0.020432471220764213,6.0
62.0,-0.634407546419609,6.0
65.0,-0.619035568352237,6.0
70.0,-0.5906284501978374,6.0
75.0,-0.5624643794046119,6.0
80.0,-0.5434084698235737,6.0
85.0,-0.5201198823165535,6.0
90.0,-0.49880922728082283,6.0
95.0,-0.4768052869228119,6.0
100.0,-0.46308242039499453,6.0
105.0,-0.44481700071574076,6.0
110.0,-0.42891168899070087,6.0
115.0,-0.41155171282710507,6.0
120.0,-0.4023036010208493,6.0
125.0,-0.38685213205890107,6.0
130.0,-0.36565785157854935,6.0
135.0,-0.3488565227384993,6.0
140.0,-0.341266315318781,6.0
145.0,-0.32584008835011324,6.0
150.0,-0.31392575778317483,6.0
155.0,-0.30140755728591984,6.0
160.0,-0.2904086182272413,6.0
165.0,-0.2803285553040006,6.0
170.0,-0.2700796746862485,6.0
175.0,-0.2591922239887676,6.0
180.0,-0.24502602236397023,6.0
185.0,-0.24638427094838014,6.0
190.0,-0.23052358417141194,6.0
195.0,-0.22495055146983578,6.0
200.0,-0.22541826515511676,6.0
205.0,-0.21481208897190038,6.0
210.0,-0.21174465408598037,6.0
215.0,-0.19573422629069187,6.0
220.0,-0.19393604764512481,6.0
225.0,-0.1926353636923199,6.0
230.0,-0.17694024764626526,6.0
235.0,-0.174389374926928,6.0
240.0,-0.17120989757305027,6.0
245.0,-0.15571797660032968,6.0
250.0,-0.15348003996835932,6.0
255.0,-0.16296583202654186,6.0
260.0,-0.1442433010125817,6.0
265.0,-0.144995810454267,6.0
